epoch,train_loss,train_acc,test_loss,test_acc,lr,teacher_test_acc,teacher_train_acc
1,14.239546337906194,6.15,14.813414812088013,7.55,0.09999383162408304,69.64,97.498
2,11.907759520472313,13.464,15.309842205047607,12.08,0.09997532801828658,69.64,97.498
3,9.657264750830981,22.528,9.96287796497345,23.41,0.09994449374809851,69.64,97.498
4,7.828588480852088,30.596,8.631704330444336,27.94,0.09990133642141359,69.64,97.498
5,6.566196959845874,36.7,7.529895234107971,33.9,0.09984586668665642,69.64,97.498
6,5.674606559227924,41.424,7.618226253986359,33.58,0.09977809823015402,69.64,97.498
7,5.035402013331043,45.198,6.060247635841369,39.75,0.09969804777275901,69.64,97.498
8,4.572285444152598,47.9,4.437995487451554,45.19,0.09960573506572391,69.64,97.498
9,4.201202494757516,50.226,4.852419424057007,44.37,0.09950118288582789,69.64,97.498
10,3.8865459610004813,52.414,5.7026037812232975,41.73,0.09938441702975691,69.64,97.498
11,3.668287429274345,53.842,4.020569497346878,48.75,0.09925546630773871,69.64,97.498
12,3.4643273219770316,55.586,4.1660395860672,48.6,0.09911436253643445,69.64,97.498
13,3.2881454752416026,56.912,7.156862604618072,37.24,0.0989611405310883,69.64,97.498
14,3.1431042028933156,57.922,4.22917211651802,48.84,0.09879583809693739,69.64,97.498
15,3.0288592078247847,58.954,3.5869989812374117,51.49,0.09861849601988384,69.64,97.498
16,2.9279281825435404,59.668,3.745817852020264,51.1,0.09842915805643157,69.64,97.498
17,2.80066530801812,60.864,4.363911372423172,48.99,0.09822787092288993,69.64,97.498
18,2.727609715899643,61.43,3.250093013048172,53.83,0.09801468428384717,69.64,97.498
19,2.6674021531124503,62.008,3.1150148689746855,54.9,0.09778965073991652,69.64,97.498
20,2.5921011834728476,62.778,3.011854374408722,55.58,0.0975528258147577,69.64,97.498
21,2.5262987333901075,63.42,3.217158442735672,54.5,0.09730426794137728,69.64,97.498
22,2.4561031533747304,63.866,2.8248231172561646,57.4,0.09704403844771128,69.64,97.498
23,2.4312864298723182,64.256,3.037075561285019,56.64,0.09677220154149338,69.64,97.498
24,2.365266877169512,64.76,2.686314731836319,57.74,0.09648882429441258,69.64,97.498
25,2.356586011696835,65.066,4.012336683273316,50.91,0.09619397662556435,69.64,97.498
26,2.290092505362569,65.594,2.610883414745331,58.04,0.09588773128419906,69.64,97.498
27,2.296588200695661,65.658,3.0966728031635284,55.23,0.09557016383177226,69.64,97.498
28,2.2161595280073128,66.072,2.5610034108161925,58.81,0.09524135262330098,69.64,97.498
