epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.13287803469872,6.636,3.921970283985138,8.74,0.09999383162408304
2,3.6383501023662332,13.138,3.706927567720413,12.44,0.09997532801828658
3,3.2996405667188218,18.542,3.5762803137302397,16.84,0.09994449374809851
4,2.9294546368170757,25.404,3.01269987821579,24.22,0.09990133642141359
5,2.650501250004282,31.198,3.451134443283081,21.59,0.09984586668665642
6,2.439504271867324,35.35,2.5800502061843873,33.74,0.09977809823015402
7,2.2678678017489764,38.72,2.6742003679275514,33.37,0.09969804777275901
8,2.139887964238926,41.854,2.8020575761795046,31.61,0.09960573506572391
9,2.031714053786531,44.282,2.4449706077575684,37.36,0.09950118288582789
10,1.946506725890296,46.002,2.260013538599014,40.76,0.09938441702975691
11,1.8680785158459021,48.146,2.025176504254341,45.4,0.09925546630773871
12,1.804923840323273,49.814,2.4036068439483644,41.1,0.09911436253643445
13,1.7589828201702662,50.742,2.0280937016010285,46.51,0.0989611405310883
14,1.6986204428332192,52.234,2.706849527359009,34.81,0.09879583809693739
15,1.649463110432333,53.524,1.9332493245601654,48.22,0.09861849601988384
16,1.602471640523599,54.424,2.6348839342594146,40.68,0.09842915805643157
17,1.5628443299507608,55.464,1.910620504617691,49.74,0.09822787092288993
18,1.5320462596659759,56.63,1.9885144144296647,48.32,0.09801468428384717
19,1.4964668775091365,57.684,1.8333166688680649,50.33,0.09778965073991652
20,1.4696290243645103,58.062,1.9325327008962632,49.52,0.0975528258147577
21,1.4477152356079646,58.788,1.9384839594364167,50.44,0.09730426794137728
22,1.4075716441991377,59.752,1.9679033041000367,49.54,0.09704403844771128
23,1.3918355338427486,59.944,1.821055108308792,51.72,0.09677220154149338
24,1.371554814431132,60.534,1.802144107222557,52.07,0.09648882429441258
25,1.3389450804311402,61.25,2.0196608304977417,49.26,0.09619397662556435
26,1.3271847257808762,61.698,1.9276321083307266,50.86,0.09588773128419906
27,1.3000133238276657,62.428,1.659293669462204,54.99,0.09557016383177226
28,1.288081622853571,62.452,1.8510173916816712,52.48,0.09524135262330098
29,1.265760492913577,63.054,1.7396206468343736,54.56,0.09490137878803079
30,1.2509918407518037,63.594,1.7259183287620545,54.07,0.0945503262094184
31,1.2392176043014138,64.024,1.717151489853859,54.37,0.0941882815044347
32,1.2260867284268748,64.078,1.916173240542412,51.57,0.09381533400219319
33,1.2078444197469829,64.822,1.8306251138448715,52.64,0.09343157572190958
34,1.1846294932219448,65.284,1.7511967331171037,53.99,0.0930371013501972
35,1.1719125065268303,65.638,1.685930387675762,54.99,0.09263200821770463
36,1.1669600025123479,65.742,1.8874981373548507,52.59,0.09221639627510078
37,1.1545744599128256,65.79,1.6751360863447189,55.99,0.09179036806841355
38,1.146592731986727,66.162,1.6746413499116897,55.29,0.09135402871372812
39,1.133920785419795,66.56,2.0291681438684464,50.3,0.0909074858712512
40,1.123431763782793,66.782,1.7539255499839783,54.46,0.09045084971874741
41,1.1118928346098687,67.148,2.0163246050477026,51.02,0.08998423292435458
42,1.1017793423059035,67.534,1.704536074399948,55.74,0.08950775061878455
43,1.0916097954827912,67.568,1.675535437464714,55.59,0.08902152036691653
44,1.0745733270839768,68.184,1.6067797154188157,57.69,0.08852566213878951
45,1.0735442443769805,68.194,1.7687950819730758,54.09,0.0880202982800016
46,1.0633450451554085,68.566,1.6936268389225007,57.03,0.08750555348152303
47,1.0487058047129183,68.804,1.7233019173145294,54.5,0.08698155474893052
