epoch,train_loss,train_acc,test_loss,test_acc,lr,teacher_test_acc,teacher_train_acc
1,14.17685789964637,6.096,14.078766775131225,8.55,0.09999383162408304,69.63,97.508
2,11.89547935310675,13.636,11.996626329421996,16.02,0.09997532801828658,69.63,97.508
3,9.638648582964528,23.17,10.122178530693054,22.18,0.09994449374809851,69.63,97.508
4,7.827385931598897,31.044,9.341499972343446,27.48,0.09990133642141359,69.63,97.508
5,6.60004858338103,36.828,8.680172634124755,28.05,0.09984586668665642,69.63,97.508
6,5.753964336550966,41.188,8.808042287826538,31.78,0.09977809823015402,69.63,97.508
7,5.121702690513766,44.69,6.531140720844268,36.96,0.09969804777275901,69.63,97.508
8,4.615670972940873,47.784,5.5379629015922545,41.28,0.09960573506572391,69.63,97.508
9,4.249636543040373,50.006,4.705923986434937,43.96,0.09950118288582789,69.63,97.508
10,3.9688262221764545,52.002,6.3200354218482975,39.5,0.09938441702975691,69.63,97.508
11,3.7268116303852628,53.922,4.76703246831894,44.97,0.09925546630773871,69.63,97.508
12,3.5010809630763773,55.326,3.639996725320816,49.81,0.09911436253643445,69.63,97.508
13,3.365782069916628,56.212,3.9153936564922334,49.19,0.0989611405310883,69.63,97.508
14,3.2114366791686235,57.47,3.3425817787647247,52.55,0.09879583809693739,69.63,97.508
15,3.095279952701257,58.568,4.2354237020015715,48.86,0.09861849601988384,69.63,97.508
16,2.9383558156538983,59.492,3.918712151050568,50.14,0.09842915805643157,69.63,97.508
17,2.8652079969036337,60.478,3.087439352273941,54.1,0.09822787092288993,69.63,97.508
18,2.7865533962541695,61.018,2.9803528130054473,55.7,0.09801468428384717,69.63,97.508
19,2.7240775738443648,61.646,3.8288160145282744,50.34,0.09778965073991652,69.63,97.508
20,2.639919394133042,62.464,3.1528037786483765,54.37,0.0975528258147577,69.63,97.508
21,2.587334916299703,62.81,3.1024519205093384,54.26,0.09730426794137728,69.63,97.508
22,2.5537301168149833,63.168,3.205967146158218,53.79,0.09704403844771128,69.63,97.508
23,2.485882485399441,63.938,3.0770282626152037,55.1,0.09677220154149338,69.63,97.508
24,2.40683190919915,64.692,3.2609728932380677,54.72,0.09648882429441258,69.63,97.508
25,2.368781880456574,65.064,2.688739985227585,57.29,0.09619397662556435,69.63,97.508
26,2.337097953776924,65.244,2.8749739110469816,56.99,0.09588773128419906,69.63,97.508
27,2.2848533750796807,65.682,2.726544052362442,56.88,0.09557016383177226,69.63,97.508
28,2.2456294857725805,66.31,2.726107621192932,57.46,0.09524135262330098,69.63,97.508
29,2.2312215840329928,66.498,3.192486268281937,54.8,0.09490137878803079,69.63,97.508
30,2.179580040123998,66.982,2.855811321735382,56.57,0.0945503262094184,69.63,97.508
31,2.172840403659003,66.786,3.087324184179306,56.1,0.0941882815044347,69.63,97.508
32,2.1263294201724383,67.358,2.4463107526302337,59.59,0.09381533400219319,69.63,97.508
33,2.1115498792152017,67.32,2.7027438074350356,58.5,0.09343157572190958,69.63,97.508
34,2.0877674526097825,67.818,2.7085448503494263,57.51,0.0930371013501972,69.63,97.508
35,2.0406803038655497,68.29,2.5769850850105285,58.9,0.09263200821770463,69.63,97.508
36,2.059555795119733,68.238,2.5499299824237824,58.97,0.09221639627510078,69.63,97.508
37,2.004027367854605,68.692,2.755880373716354,58.67,0.09179036806841355,69.63,97.508
38,1.9967899553629818,68.814,2.700951337814331,58.05,0.09135402871372812,69.63,97.508
