epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.7032910299544433,35.662,1.616270786523819,42.77,0.09999383162408304
2,1.255987016218049,54.448,1.8985750883817674,42.03,0.09997532801828658
3,1.0189201260099605,63.366,1.0120359823107719,64.56,0.09994449374809851
4,0.886606940505456,68.656,1.1408428698778152,61.72,0.09990133642141359
5,0.784537598490715,72.32,1.0356452621519565,65.55,0.09984586668665642
6,0.707457243787999,75.27,0.9719914332032203,68.0,0.09977809823015402
7,0.6515215376810152,77.134,0.809506407380104,73.54,0.09969804777275901
8,0.6065428083648488,78.926,0.7282710120081901,75.89,0.09960573506572391
9,0.5647466190311373,80.39,0.6795910313725472,77.08,0.09950118288582789
10,0.5373454534885834,81.15,0.7826626405119896,75.46,0.09938441702975691
11,0.5101463955884077,82.028,0.7601815380156041,74.87,0.09925546630773871
12,0.48962960422647245,82.942,0.8346578985452652,73.43,0.09911436253643445
13,0.4705824214889079,83.74,0.6424553647637368,78.89,0.0989611405310883
14,0.44840515830687117,84.568,0.6959254398941994,77.5,0.09879583809693739
15,0.4325794680994384,84.826,0.6572825163602829,79.17,0.09861849601988384
16,0.4204412137671393,85.282,0.5691556721925736,81.95,0.09842915805643157
17,0.4098218585155448,85.724,0.5955226607620716,79.89,0.09822787092288993
18,0.39719888674361364,86.284,0.5811253473162651,81.32,0.09801468428384717
19,0.37859900949560865,86.94,0.4892874911427498,83.72,0.09778965073991652
20,0.37031325561051465,87.13,0.5363085702061653,83.15,0.0975528258147577
21,0.36112108157605544,87.542,0.5210148938000202,83.37,0.09730426794137728
22,0.35429554280577874,87.7,0.6264368586242199,80.48,0.09704403844771128
23,0.34632048322534076,87.93,0.5433519519865513,82.71,0.09677220154149338
24,0.3367138469249618,88.334,0.5004440426826477,83.45,0.09648882429441258
25,0.3316497912212294,88.468,0.47101708874106407,84.33,0.09619397662556435
26,0.32314235169668587,88.668,0.5777207240462303,81.79,0.09588773128419906
27,0.3177977322923894,88.9,0.5027089014649391,83.92,0.09557016383177226
28,0.31669645794496243,88.95,0.5329174377024174,82.53,0.09524135262330098
29,0.3037383495544901,89.368,0.5448935478925705,84.04,0.09490137878803079
30,0.30148052059266034,89.542,0.5205058842897415,83.29,0.0945503262094184
31,0.2913840254198532,89.76,0.5499697230756283,83.22,0.0941882815044347
32,0.29387470828939455,89.682,0.4696731023490429,85.57,0.09381533400219319
33,0.2852992321155509,90.148,0.4415968984365463,85.66,0.09343157572190958
34,0.2771644212153493,90.308,0.502438823133707,84.38,0.0930371013501972
35,0.2772062183642874,90.352,0.5256063170731068,83.65,0.09263200821770463
36,0.26885172511850086,90.68,0.4550121434032917,85.5,0.09221639627510078
37,0.26280471469674793,90.94,0.4556761302053928,85.5,0.09179036806841355
38,0.26398290397257224,90.728,0.5780770495533943,82.33,0.09135402871372812
39,0.2589885654041962,90.928,0.5540030807256698,83.44,0.0909074858712512
40,0.25903118470189523,90.88,0.44186550602316854,85.85,0.09045084971874741
41,0.2462899321500136,91.314,0.5016817713156343,84.85,0.08998423292435458
42,0.25114355768476215,91.072,0.43772605881094934,85.97,0.08950775061878455
43,0.2420781843212186,91.53,0.5000725992023944,84.27,0.08902152036691653
44,0.23951503315142222,91.534,0.5699385397136212,82.3,0.08852566213878951
45,0.2393579400163524,91.572,0.42557146959006786,86.63,0.0880202982800016
46,0.24309373126194186,91.4,0.5110108859837055,84.77,0.08750555348152303
