epoch,train_loss,train_acc,test_loss,test_acc,lr,teacher_test_acc,teacher_train_acc
1,11.335299525942121,36.14,10.984355139732362,41.6,0.09999383162408304,92.91,99.996
2,7.248401364501642,56.21,11.764862823486329,43.45,0.09997532801828658,92.91,99.996
3,5.565808157531583,64.446,10.303458714485169,48.3,0.09994449374809851,92.91,99.996
4,4.603851002089831,69.216,10.77950439453125,48.05,0.09990133642141359,92.91,99.996
5,3.891481342364331,72.924,8.441827201843262,56.01,0.09984586668665642,92.91,99.996
6,3.331241483591041,76.02,3.33509818315506,72.9,0.09977809823015402,92.91,99.996
7,2.9723661037123934,78.002,4.221116662025452,70.3,0.09969804777275901,92.91,99.996
8,2.7067202086351356,79.526,2.824131417274475,75.21,0.09960573506572391,92.91,99.996
9,2.478090196239705,80.818,2.398376500606537,77.45,0.09950118288582789,92.91,99.996
10,2.29786238378408,81.908,4.177702480554581,69.06,0.09938441702975691,92.91,99.996
11,2.238393202119944,82.232,3.50314199924469,72.27,0.09925546630773871,92.91,99.996
12,2.113822179789446,83.042,2.924177497625351,75.77,0.09911436253643445,92.91,99.996
13,1.9997604671789675,83.624,2.581008440256119,77.23,0.0989611405310883,92.91,99.996
14,1.9250428780001037,84.218,1.699371936917305,81.95,0.09879583809693739,92.91,99.996
15,1.8416212657276465,84.668,1.9015856325626372,80.42,0.09861849601988384,92.91,99.996
16,1.7770016613055248,85.196,1.5773599714040756,82.14,0.09842915805643157,92.91,99.996
17,1.7294051023770352,85.5,2.088925504684448,80.17,0.09822787092288993,92.91,99.996
18,1.6859616226687724,85.832,1.9988649874925613,80.24,0.09801468428384717,92.91,99.996
19,1.6104415205060219,86.334,1.9341799706220626,81.06,0.09778965073991652,92.91,99.996
20,1.5948684033082456,86.392,2.1754523277282716,79.71,0.0975528258147577,92.91,99.996
21,1.5363595053857686,86.746,1.380871295928955,83.7,0.09730426794137728,92.91,99.996
22,1.5012617652513542,87.086,1.481619644165039,83.39,0.09704403844771128,92.91,99.996
23,1.4263068449740508,87.566,1.1918331786990166,84.48,0.09677220154149338,92.91,99.996
24,1.3955277727574718,87.748,2.1854288071393966,78.9,0.09648882429441258,92.91,99.996
25,1.3976279825580364,87.8,1.3710297778248788,83.43,0.09619397662556435,92.91,99.996
26,1.3751448569249134,88.128,2.6574886977672576,76.74,0.09588773128419906,92.91,99.996
27,1.3396237793625618,88.252,1.4863759100437164,83.42,0.09557016383177226,92.91,99.996
28,1.3359215600149972,88.36,1.338265546038747,84.6,0.09524135262330098,92.91,99.996
29,1.3159809954920594,88.398,1.2652769342064858,84.66,0.09490137878803079,92.91,99.996
30,1.2752892168200747,88.79,1.4327668726444245,84.14,0.0945503262094184,92.91,99.996
31,1.233615944580156,89.008,1.1769225254654885,85.6,0.0941882815044347,92.91,99.996
32,1.2113895966690413,89.158,1.2874167054891585,84.98,0.09381533400219319,92.91,99.996
33,1.2078794158843098,89.188,1.2913335256278515,84.88,0.09343157572190958,92.91,99.996
34,1.1727523545221405,89.556,1.4537905931472779,83.83,0.0930371013501972,92.91,99.996
35,1.1501842186767228,89.614,1.4474592179059982,83.86,0.09263200821770463,92.91,99.996
36,1.1398229799708541,89.722,1.1952074632048606,85.36,0.09221639627510078,92.91,99.996
37,1.1194172687068278,89.922,1.5340557634830474,83.35,0.09179036806841355,92.91,99.996
38,1.1172064618796718,89.916,1.1111509948968887,86.12,0.09135402871372812,92.91,99.996
39,1.0746240229630957,90.13,1.309168517589569,84.94,0.0909074858712512,92.91,99.996
40,1.0994437002405828,90.124,1.5726196587085723,83.61,0.09045084971874741,92.91,99.996
41,1.099139458670908,90.294,1.819744309782982,81.22,0.08998423292435458,92.91,99.996
42,1.0706657213824136,90.248,2.198218730092049,80.42,0.08950775061878455,92.91,99.996
43,1.0449503429081974,90.428,3.737680268287659,74.8,0.08902152036691653,92.91,99.996
44,1.0474688994641206,90.568,1.1158581281080842,86.02,0.08852566213878951,92.91,99.996
45,1.0084185095465914,90.73,1.1376275658607482,86.06,0.0880202982800016,92.91,99.996
46,0.9949613581506573,90.872,0.972440755367279,86.98,0.08750555348152303,92.91,99.996
47,0.9887716380917296,90.972,2.233702650666237,79.49,0.08698155474893052,92.91,99.996
48,0.9692184322950791,91.122,1.1766620248556137,85.85,0.08644843137107061,92.91,99.996
49,0.9817855151332154,91.008,1.190991072356701,85.32,0.08590631488815947,92.91,99.996
50,0.9842897212626983,91.048,1.2985008388757706,85.34,0.0853553390593274,92.91,99.996
51,0.9550973733468932,91.344,1.6154312685132026,82.91,0.08479563982961574,92.91,99.996
52,0.939151079679022,91.3,1.1780401587486267,85.47,0.08422735529643446,92.91,99.996
53,0.9141892623536441,91.49,1.383484025299549,84.75,0.08365062567548869,92.91,99.996
54,0.904028561802543,91.644,1.3078273773193358,85.38,0.08306559326618261,92.91,99.996
55,0.9027819660853367,91.64,1.0736366778612136,86.66,0.0824724024165092,92.91,99.996
56,0.8789551978816792,91.79,2.802735537290573,77.01,0.0818711994874345,92.91,99.996
57,0.8891549417558982,91.83,1.3507196053862571,85.11,0.08126213281678528,92.91,99.996
58,0.8960478838000979,91.77,1.1249295860528945,86.08,0.08064535268264884,92.91,99.996
59,0.8626019948599289,91.946,1.0329052746295928,86.87,0.08002101126629421,92.91,99.996
60,0.841383978116269,92.236,1.0545607574284077,86.75,0.07938926261462367,92.91,99.996
61,0.8544354221346427,92.032,1.2258628711104393,85.9,0.07875026260216395,92.91,99.996
62,0.826526861713857,92.25,0.9053604319691658,87.66,0.07810416889260656,92.91,99.996
63,0.825635735933878,92.228,1.3024653926491738,85.21,0.07745114089990661,92.91,99.996
64,0.8043404458736887,92.44,0.8402814935892821,88.15,0.07679133974894985,92.91,99.996
65,0.8054551299737425,92.532,0.9303731128573418,87.48,0.07612492823579746,92.91,99.996
66,0.7780746204816565,92.726,1.2181937456130982,85.98,0.07545207078751859,92.91,99.996
67,0.7851001407418933,92.64,0.924127072095871,87.77,0.0747729334216204,92.91,99.996
68,0.7915856243700398,92.648,1.7152277767658233,83.3,0.07408768370508578,92.91,99.996
69,0.769290992952123,92.85,1.327206553518772,85.38,0.0733964907130287,92.91,99.996
70,0.7723627093495155,92.678,1.2512354373931884,85.85,0.07269952498697736,92.91,99.996
71,0.741495782927591,93.032,1.0891335278749465,87.18,0.07199695849279578,92.91,99.996
72,0.7355851905078304,93.094,1.106220829486847,86.18,0.07128896457825366,92.91,99.996
73,0.7133986171411009,93.322,1.0077408328652382,87.71,0.07057571793025548,92.91,99.996
74,0.7251876907385125,93.086,1.5085550487041473,83.53,0.06985739453173906,92.91,99.996
75,0.708766412370059,93.268,1.3935192048549652,85.75,0.06913417161825453,92.91,99.996
76,0.7161838787854934,93.218,1.2588097289204598,86.15,0.06840622763423394,92.91,99.996
77,0.6966516533676459,93.51,1.1638999253511428,86.26,0.0676737421889629,92.91,99.996
78,0.6764083051559876,93.614,0.979226179420948,87.8,0.06693689601226462,92.91,99.996
79,0.6725066136948916,93.626,0.9814433246850968,87.99,0.06619587090990751,92.91,99.996
80,0.6720001734032923,93.562,0.9443622156977654,87.93,0.06545084971874741,92.91,99.996
81,0.6624089108437908,93.67,0.9864992775022984,87.53,0.06470201626161524,92.91,99.996
82,0.6623869005362598,93.776,0.7958992563188076,88.33,0.06394955530196152,92.91,99.996
83,0.6443613978977106,93.912,0.97289460003376,87.77,0.06319365249826868,92.91,99.996
84,0.6398147625886664,93.946,0.8158395168371498,88.87,0.06243449435824277,92.91,99.996
85,0.6309077570176854,93.938,1.0941134169697762,86.83,0.06167226819279532,92.91,99.996
86,0.6421563515857774,93.902,0.9975303113460541,87.92,0.06090716206982718,92.91,99.996
87,0.6080069578423792,94.146,1.039878599345684,87.3,0.06013936476782568,92.91,99.996
88,0.5908769784229142,94.362,1.0229374222457408,87.58,0.05936906572928629,92.91,99.996
89,0.5998842133855333,94.23,0.9925284132361412,87.2,0.05859645501397052,92.91,99.996
90,0.610076157110078,94.106,0.7800368547439576,89.14,0.05782172325201159,92.91,99.996
91,0.581110802992266,94.428,1.1689358457922936,87.14,0.057045061596879186,92.91,99.996
92,0.593230061080991,94.362,0.9395548179745674,88.22,0.056266661678215264,92.91,99.996
93,0.5507723407781854,94.682,0.9288654198579025,88.0,0.055486715554552306,92.91,99.996
94,0.5579746859718342,94.598,1.0359000891447068,87.18,0.05470541566592575,92.91,99.996
95,0.542736925032674,94.798,1.0644389882683754,87.37,0.05392295478639229,92.91,99.996
96,0.553782120803181,94.736,0.9144502639770508,88.31,0.05313952597646571,92.91,99.996
97,0.5450199343720261,94.876,0.8781936205923557,88.26,0.05235532253548216,92.91,99.996
98,0.5369031921941407,94.856,1.1367749333381654,86.83,0.051570537953906447,92.91,99.996
99,0.5133400320702669,95.0,0.7580035164952278,89.36,0.05078536586559106,92.91,99.996
100,0.4971756685753258,95.27,0.918878524005413,88.62,0.050000000000000024,92.91,99.996
101,0.5086994177984948,95.1,0.7837994053959847,89.76,0.049214634134409,92.91,99.996
102,0.5101072180027865,95.118,0.8174804136157036,89.11,0.04842946204609361,92.91,99.996
103,0.5175554395786354,95.1,0.8606904700398446,89.08,0.04764467746451789,92.91,99.996
104,0.4852743034764212,95.318,0.7025997847318649,89.92,0.046860474023534354,92.91,99.996
