epoch,train_loss,train_acc,test_loss,test_acc,lr,teacher_test_acc,teacher_train_acc
1,15.81708718805897,5.73,15.81380205154419,7.95,0.09999383162408304,66.15,94.626
2,13.057208591577957,13.76,12.599320435523987,18.37,0.09997532801828658,66.15,94.626
3,10.551771032566927,23.72,12.673899793624878,19.96,0.09994449374809851,66.15,94.626
4,8.686096950453155,31.256,10.038522613048553,28.27,0.09990133642141359,66.15,94.626
5,7.3408960809513015,37.418,7.506462323665619,36.37,0.09984586668665642,66.15,94.626
6,6.379131869393952,41.944,7.066552591323853,38.58,0.09977809823015402,66.15,94.626
7,5.7287114323401935,45.392,6.205993580818176,42.25,0.09969804777275901,66.15,94.626
8,5.243665897116369,48.282,5.7842447519302365,45.96,0.09960573506572391,66.15,94.626
9,4.883897715685319,50.136,5.747886610031128,44.87,0.09950118288582789,66.15,94.626
10,4.514404726271727,52.382,5.620723235607147,45.81,0.09938441702975691,66.15,94.626
11,4.283608555793762,53.9,4.753649318218232,49.42,0.09925546630773871,66.15,94.626
12,4.063413523897832,55.51,5.1607293605804445,48.36,0.09911436253643445,66.15,94.626
13,3.873571870278339,56.61,4.514399516582489,51.28,0.0989611405310883,66.15,94.626
14,3.8081848219949372,57.098,4.561116945743561,51.72,0.09879583809693739,66.15,94.626
15,3.5878123288251915,58.71,4.655323159694672,51.19,0.09861849601988384,66.15,94.626
16,3.498249707173328,59.012,3.9828753411769866,53.94,0.09842915805643157,66.15,94.626
17,3.432935878938558,59.886,4.397572773694992,53.02,0.09822787092288993,66.15,94.626
18,3.306267197034797,60.74,4.088666892051696,53.51,0.09801468428384717,66.15,94.626
19,3.246227400643485,61.21,4.377442109584808,53.19,0.09778965073991652,66.15,94.626
20,3.162222471772408,61.944,4.206570863723755,53.73,0.0975528258147577,66.15,94.626
21,3.1126297955610314,62.114,4.511216288805008,52.55,0.09730426794137728,66.15,94.626
22,3.009918307771488,63.114,4.144639664888382,54.03,0.09704403844771128,66.15,94.626
23,2.989939963331028,63.462,4.039304929971695,54.5,0.09677220154149338,66.15,94.626
24,2.915190657790826,63.61,3.848240518569946,55.47,0.09648882429441258,66.15,94.626
25,2.879307754185735,64.304,4.007378035783768,54.18,0.09619397662556435,66.15,94.626
26,2.791529481508294,64.696,3.4587656259536743,57.65,0.09588773128419906,66.15,94.626
27,inf,65.272,4.079363691806793,54.56,0.09557016383177226,66.15,94.626
28,2.7572301735683364,65.252,3.9814903855323793,56.28,0.09524135262330098,66.15,94.626
29,2.6745627364333795,65.856,4.0936463415622715,54.84,0.09490137878803079,66.15,94.626
30,2.6619288544265594,66.052,4.035156393051148,55.28,0.0945503262094184,66.15,94.626
31,2.624619267424759,66.51,3.728028804063797,56.79,0.0941882815044347,66.15,94.626
32,2.55164273539368,66.904,3.706321734189987,57.19,0.09381533400219319,66.15,94.626
33,2.553445631143998,67.048,3.5395354330539703,57.54,0.09343157572190958,66.15,94.626
34,2.5375660420680535,67.352,3.403852993249893,58.25,0.0930371013501972,66.15,94.626
35,2.503651429804004,67.546,3.519551295042038,57.71,0.09263200821770463,66.15,94.626
36,2.4861510529810067,67.75,3.2820080757141112,59.29,0.09221639627510078,66.15,94.626
