epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.127952570817908,6.554,3.881288927793503,9.91,0.09999383162408304
2,3.6671395070698796,12.64,3.568165683746338,13.74,0.09997532801828658
3,3.338154605456761,18.176,3.2280648589134215,20.26,0.09994449374809851
4,2.983100670941022,24.442,3.0944337487220763,22.21,0.09990133642141359
5,2.7083533467078698,29.618,2.955783689022064,27.3,0.09984586668665642
6,2.4920758264405385,34.236,2.7971616685390472,30.21,0.09977809823015402
7,2.301588382647962,38.29,2.415554141998291,37.18,0.09969804777275901
8,2.157684453287903,41.282,2.77307488322258,33.46,0.09960573506572391
9,2.04988095164299,43.83,2.4042594611644743,36.33,0.09950118288582789
10,1.9491242054773836,46.362,2.15785835981369,42.67,0.09938441702975691
11,1.8657573875115843,48.24,2.2098571956157684,42.87,0.09925546630773871
12,1.7960492986805585,50.124,2.2185219138860703,40.94,0.09911436253643445
13,1.7290620457152932,51.25,1.9968779534101486,47.18,0.0989611405310883
14,1.6699851690506449,52.994,1.9453580379486084,48.23,0.09879583809693739
15,1.630312717082549,53.97,2.172002908587456,44.38,0.09861849601988384
16,1.5903391564378933,54.786,2.0688809216022492,47.0,0.09842915805643157
17,1.5476330962716316,56.156,1.931855696439743,49.91,0.09822787092288993
18,1.5037080815860204,57.25,1.8457207202911377,51.55,0.09801468428384717
19,1.4770954774350535,57.754,2.056590512394905,47.68,0.09778965073991652
20,1.447756568388063,58.62,1.7483899682760238,52.52,0.0975528258147577
21,1.4131698024516204,59.37,1.8560137003660202,52.15,0.09730426794137728
22,1.3860201902535496,60.244,1.872604387998581,51.39,0.09704403844771128
23,1.3595700038939107,60.682,1.804315948486328,51.58,0.09677220154149338
24,1.3376984882111451,61.36,1.7106555253267288,53.25,0.09648882429441258
25,1.3191071943360932,61.812,1.9124514311552048,51.8,0.09619397662556435
26,1.2930485101378695,62.76,1.821730810403824,52.81,0.09588773128419906
27,1.282103336587244,63.044,1.7616894721984864,53.22,0.09557016383177226
28,1.2631056028969434,63.326,1.8901282221078872,51.79,0.09524135262330098
29,1.2443604919375206,63.634,1.7614818662405014,53.75,0.09490137878803079
30,1.2333145400091095,64.024,1.8800455778837204,53.36,0.0945503262094184
31,1.2206243452977161,64.474,1.806890422105789,54.5,0.0941882815044347
32,1.2014726433826952,64.876,1.8004880934953689,53.33,0.09381533400219319
33,1.1877447427535544,65.214,1.6787742346525192,55.41,0.09343157572190958
34,1.1674927503478771,65.842,1.8952867418527604,52.61,0.0930371013501972
35,1.1586196611122208,65.774,1.765547987818718,54.96,0.09263200821770463
36,1.1488040804254764,66.156,1.749316081404686,54.72,0.09221639627510078
37,1.132578735448876,66.664,1.656334975361824,56.35,0.09179036806841355
38,1.1219590832384265,67.03,1.7599191546440125,55.16,0.09135402871372812
39,1.1162564322656514,67.11,1.898270058631897,52.12,0.0909074858712512
40,1.1086711217554248,67.328,1.807654146850109,53.18,0.09045084971874741
41,1.0854347044107866,67.956,1.575748360157013,58.29,0.08998423292435458
42,1.0865105390548706,67.768,1.7440489321947097,55.93,0.08950775061878455
43,1.078544302254307,67.85,1.6058744192123413,57.32,0.08902152036691653
44,1.0535470320253957,68.632,1.6747664362192154,56.47,0.08852566213878951
45,1.0525158701502546,69.046,1.7480366557836533,55.22,0.0880202982800016
46,1.0463849771387723,68.946,1.7516941606998444,54.25,0.08750555348152303
47,1.0260516928166759,69.426,1.7552521735429765,56.88,0.08698155474893052
48,1.0284558133203157,69.418,1.669849307835102,55.94,0.08644843137107061
49,1.0185729998106858,69.634,1.6466089218854905,57.49,0.08590631488815947
50,1.01678587344228,69.698,1.732431799173355,56.87,0.0853553390593274
51,1.0012228826479035,70.308,1.56257007420063,59.09,0.08479563982961574
52,0.9936689007647184,70.372,1.8141474813222884,55.06,0.08422735529643446
53,0.9807540318187402,70.568,1.6016546577215194,58.05,0.08365062567548869
54,0.980993137067678,70.518,1.5916843578219413,57.98,0.08306559326618261
55,0.9709761100155967,70.95,1.7442927926778793,56.75,0.0824724024165092
56,0.9566261667986306,71.342,1.779831400513649,55.99,0.0818711994874345
57,0.9562958813443476,71.236,1.5791179597377778,58.85,0.08126213281678528
58,0.9474559794275128,71.552,1.721686637401581,57.48,0.08064535268264884
59,0.94293626504285,71.65,1.678106489777565,56.98,0.08002101126629421
60,0.9281480361004265,72.124,1.8373582124710084,54.77,0.07938926261462367
61,0.9259411081367609,72.084,1.7076187044382096,57.21,0.07875026260216395
62,0.9246925793740214,72.106,1.6574287593364716,58.8,0.07810416889260656
63,0.9146465099587733,72.522,1.8378685414791107,53.47,0.07745114089990661
64,0.9089291375510546,72.376,1.5935461223125458,59.26,0.07679133974894985
65,0.8982570715704743,72.73,1.6986554980278015,55.77,0.07612492823579746
66,0.8978716417842981,72.808,1.8771567940711975,54.68,0.07545207078751859
