epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.6952774536852935,35.4,1.4899889916181563,43.72,0.09999383162408304
2,1.2448087596163457,54.542,1.3633252412080765,52.59,0.09997532801828658
3,1.005789540251907,64.012,1.4066452860832215,54.93,0.09994449374809851
4,0.8814831473389451,68.374,1.0579462841153144,64.01,0.09990133642141359
5,0.7861410698720387,72.276,1.0068636894226075,66.93,0.09984586668665642
6,0.7118974160783145,74.896,0.9529646664857865,68.57,0.09977809823015402
7,0.6429878865577736,77.562,0.9746388658881188,68.87,0.09969804777275901
8,0.5960739391798876,79.326,0.632802139222622,78.4,0.09960573506572391
9,0.5564305539033851,80.664,0.790738046914339,74.04,0.09950118288582789
10,0.523638650622903,81.738,0.6412241794168949,78.17,0.09938441702975691
11,0.4980130969565742,82.762,0.6813692040741444,77.65,0.09925546630773871
12,0.47633565262872346,83.616,0.6130248516798019,79.65,0.09911436253643445
13,0.45743515646579314,84.112,0.617292020469904,80.16,0.0989611405310883
14,0.4377959948413226,84.632,0.5376875109970569,81.66,0.09879583809693739
15,0.42302851333301894,85.316,0.636106924712658,80.48,0.09861849601988384
16,0.40759591089219466,85.788,0.6573252283036709,79.25,0.09842915805643157
17,0.39491396823099684,86.338,0.4875111855566502,84.02,0.09822787092288993
18,0.3889985967199413,86.498,0.6443033598363399,79.21,0.09801468428384717
19,0.3761018659843474,86.786,0.5384727165102958,82.86,0.09778965073991652
20,0.36298825500570997,87.57,0.4653408400714397,84.3,0.0975528258147577
21,0.350683440283245,87.634,0.6745403431355953,79.13,0.09730426794137728
22,0.34324104156421154,87.97,0.526692371070385,83.01,0.09704403844771128
23,0.33944833765224536,88.0,0.5251610457897187,82.97,0.09677220154149338
24,0.3298680117087705,88.58,0.5170416660606861,83.91,0.09648882429441258
25,0.32528142676669725,88.652,0.5230269081890583,83.35,0.09619397662556435
26,0.3147476860607157,89.004,0.4748348146677017,84.76,0.09588773128419906
27,0.3052577361160395,89.266,0.5674029417335987,82.83,0.09557016383177226
28,0.30390505728368855,89.254,0.4627834178507328,85.21,0.09524135262330098
29,0.30066535553457785,89.418,0.4582897797226906,85.18,0.09490137878803079
30,0.29377831191736825,89.696,0.5006312884390354,84.14,0.0945503262094184
31,0.28871578510318485,89.95,0.4481939822435379,85.21,0.0941882815044347
32,0.2822848768258581,90.356,0.44955578818917274,85.28,0.09381533400219319
33,0.28233612207125647,90.178,0.5052769616246223,84.48,0.09343157572190958
34,0.2747423896680073,90.356,0.4360628332477063,85.87,0.0930371013501972
35,0.2691446558705398,90.52,0.42111595049500467,86.35,0.09263200821770463
36,0.26837379356123964,90.592,0.416138806194067,86.71,0.09221639627510078
37,0.2636165110280319,90.916,0.4973870448768139,84.45,0.09179036806841355
38,0.25475622850413226,91.124,0.5504138328135013,84.23,0.09135402871372812
39,0.25005279914761075,91.216,0.506028089672327,84.43,0.0909074858712512
40,0.24912520756526868,91.228,0.5197325130924583,83.84,0.09045084971874741
41,0.24509594140916455,91.412,0.443898456171155,85.74,0.08998423292435458
42,0.24253149117742265,91.532,0.47208698419854045,84.44,0.08950775061878455
43,0.2430799828500164,91.568,0.5262468166649341,84.86,0.08902152036691653
44,0.2395308004045973,91.554,0.45490915402770044,85.87,0.08852566213878951
45,0.23108903128577737,91.882,0.5069635085761547,84.93,0.0880202982800016
46,0.22967797327710657,91.794,0.43155669793486595,86.6,0.08750555348152303
47,0.22966603691480597,91.804,0.4682871699333191,85.2,0.08698155474893052
48,0.22680729433742106,92.012,0.5578410927206278,83.47,0.08644843137107061
49,0.22150009216702715,92.204,0.47351264040917157,85.7,0.08590631488815947
50,0.2181472157185175,92.268,0.5127878248691559,84.72,0.0853553390593274
51,0.2156832602863409,92.382,0.4389788456261158,86.61,0.08479563982961574
52,0.2129622692508357,92.61,0.4291121058166027,86.71,0.08422735529643446
53,0.21164569581801795,92.478,0.4737692393362522,85.36,0.08365062567548869
54,0.2085915162627186,92.73,0.43569473549723625,86.45,0.08306559326618261
55,0.2034383593697329,92.792,0.48044694885611533,85.55,0.0824724024165092
56,0.20621237310827994,92.756,0.4092041362076998,86.91,0.0818711994874345
57,0.20281159733327067,92.856,0.474712547659874,85.84,0.08126213281678528
58,0.19963870725917574,92.962,0.5431466281414032,84.28,0.08064535268264884
59,0.20006548887004658,92.79,0.48067540414631366,85.71,0.08002101126629421
60,0.19629289377100614,93.162,0.4251143105328083,86.66,0.07938926261462367
61,0.19553325937262603,93.094,0.49505653902888297,85.49,0.07875026260216395
62,0.18641235683189364,93.45,0.4331311032176018,86.79,0.07810416889260656
63,0.18641345115492539,93.358,0.4163381099700928,87.14,0.07745114089990661
64,0.1815243090445898,93.56,0.5036156803369523,85.55,0.07679133974894985
65,0.1842096448324773,93.46,0.44464693684130907,86.54,0.07612492823579746
66,0.17715088555551306,93.674,0.4092655770946294,87.67,0.07545207078751859
67,0.17819555635963166,93.686,0.5727300844155252,84.7,0.0747729334216204
68,0.1822806119690744,93.588,0.45121798291802406,86.57,0.07408768370508578
69,0.1630833423031228,94.148,0.46450838074088097,86.65,0.0733964907130287
70,0.16623888617115362,94.118,0.43768338933587075,87.12,0.07269952498697736
71,0.17147846991310314,93.928,0.416823585703969,87.18,0.07199695849279578
72,0.16563537678852372,94.052,0.4168358415365219,88.06,0.07128896457825366
73,0.1666189839265176,94.038,0.4710186757147312,86.52,0.07057571793025548
