epoch,train_loss,train_acc,test_loss,test_acc,lr,teacher_test_acc,teacher_train_acc
1,13.413367154646894,6.032,13.076238131523132,8.33,0.09999383162408304,71.69,98.328
2,10.315146937662242,16.902,9.792081189155578,20.05,0.09997532801828658,71.69,98.328
3,8.026931541306633,27.32,14.075147938728332,14.37,0.09994449374809851,71.69,98.328
4,6.634316081903418,34.326,8.748856353759766,26.5,0.09990133642141359,71.69,98.328
5,5.570726282742559,40.166,8.04462126493454,30.05,0.09984586668665642,71.69,98.328
6,4.897769052155164,44.292,4.791207188367844,41.74,0.09977809823015402,71.69,98.328
7,4.3928969319985836,47.398,5.689956879615783,39.34,0.09969804777275901,71.69,98.328
8,4.011516533335861,49.814,4.194790673255921,45.4,0.09960573506572391,71.69,98.328
9,3.7124433626933975,51.918,3.7838330447673796,47.46,0.09950118288582789,71.69,98.328
10,3.4831964458738054,53.706,4.136067295074463,46.17,0.09938441702975691,71.69,98.328
11,3.2087375156733455,55.694,3.528751850128174,49.3,0.09925546630773871,71.69,98.328
12,3.0863719424422906,56.516,3.9806941151618958,47.53,0.09911436253643445,71.69,98.328
13,2.950017954621996,57.964,4.328286969661713,45.57,0.0989611405310883,71.69,98.328
14,2.8235341152366327,59.104,3.929029589891434,48.16,0.09879583809693739,71.69,98.328
15,2.7214401948208713,59.956,3.1713919758796694,52.21,0.09861849601988384,71.69,98.328
16,2.607126221364858,60.78,2.9564653515815733,53.11,0.09842915805643157,71.69,98.328
17,2.5427685811811562,61.616,2.762963742017746,54.6,0.09822787092288993,71.69,98.328
18,2.4699814295282168,62.216,3.1287204563617705,51.61,0.09801468428384717,71.69,98.328
19,2.4108557439580256,62.86,2.6505120635032653,56.03,0.09778965073991652,71.69,98.328
20,2.3462969423556816,63.292,2.98850437104702,53.49,0.0975528258147577,71.69,98.328
21,2.2761070977668374,63.954,2.4342568814754486,56.36,0.09730426794137728,71.69,98.328
22,2.2487131357192993,64.49,2.768605136871338,55.0,0.09704403844771128,71.69,98.328
23,2.171759713061002,65.118,2.492019200325012,56.29,0.09677220154149338,71.69,98.328
24,2.146559383187975,65.498,3.685255616903305,51.24,0.09648882429441258,71.69,98.328
25,2.1212544173610453,65.93,2.287105938792229,57.87,0.09619397662556435,71.69,98.328
26,2.081937945010711,66.112,2.455452048778534,57.63,0.09588773128419906,71.69,98.328
27,2.047848085967862,66.554,2.1311303824186325,59.55,0.09557016383177226,71.69,98.328
28,2.0149452619406643,67.04,2.547012448310852,57.77,0.09524135262330098,71.69,98.328
29,1.9958281133856093,67.028,2.5866715252399444,57.23,0.09490137878803079,71.69,98.328
30,1.9477625367592792,67.928,2.80820118188858,55.43,0.0945503262094184,71.69,98.328
31,1.9404741404007892,67.674,2.354886305332184,58.31,0.0941882815044347,71.69,98.328
32,1.8961292493100068,68.206,2.4306164562702177,58.76,0.09381533400219319,71.69,98.328
33,1.8752713185183856,68.46,2.4367876172065737,58.64,0.09343157572190958,71.69,98.328
34,1.8820204455025342,68.472,2.5454028487205504,57.19,0.0930371013501972,71.69,98.328
35,1.8058249032010838,69.45,2.090556266903877,60.69,0.09263200821770463,71.69,98.328
36,1.806384095123836,69.378,2.1650222480297088,60.34,0.09221639627510078,71.69,98.328
