epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.130337726096718,6.67,3.854317140579224,10.61,0.09999383162408304
2,3.6579534897998887,12.648,3.5876376807689665,13.58,0.09997532801828658
3,3.3611986381667003,17.762,3.258772736787796,19.55,0.09994449374809851
4,3.0144628140391134,23.956,3.3989393413066864,21.54,0.09990133642141359
5,2.738313323380996,29.214,2.897999441623688,28.05,0.09984586668665642
6,2.5181729039367364,33.886,2.7645475208759307,30.57,0.09977809823015402
7,2.349598505059067,37.086,2.6433573961257935,34.25,0.09969804777275901
8,2.206036377926262,40.352,2.3944698870182037,39.11,0.09960573506572391
9,2.072314087833677,43.512,2.6056299984455107,35.34,0.09950118288582789
10,1.9836341598812415,45.524,2.2119083940982818,42.07,0.09938441702975691
11,1.8864983642587856,47.64,2.203639104962349,42.28,0.09925546630773871
12,1.8295882958538678,48.964,2.1974873304367066,43.8,0.09911436253643445
13,1.7646028819132824,50.866,2.0796809792518616,44.83,0.0989611405310883
14,1.7106335874722929,52.256,2.0338868528604506,46.84,0.09879583809693739
15,1.6558894338656445,53.312,2.2310146361589434,43.81,0.09861849601988384
16,1.6240977474621363,54.154,1.9116028815507888,49.04,0.09842915805643157
17,1.5728014914356931,55.364,1.982876753807068,48.3,0.09822787092288993
18,1.5472442507743835,56.168,1.97683906853199,47.54,0.09801468428384717
19,1.5167414917021382,56.94,1.9202209532260894,49.19,0.09778965073991652
20,1.479952367592831,57.462,1.8219801485538483,52.22,0.0975528258147577
21,1.4462550981920592,58.696,1.9571714907884599,50.11,0.09730426794137728
22,1.4178110251621323,59.372,1.87213996052742,51.48,0.09704403844771128
23,1.4008087120494064,59.72,1.9086888313293457,49.89,0.09677220154149338
24,1.375479736498424,60.462,1.7707093954086304,52.97,0.09648882429441258
25,1.355754656451089,60.928,1.80702802836895,52.35,0.09619397662556435
26,1.3409434052146212,61.266,1.8433672189712524,51.63,0.09588773128419906
27,1.3028312659993464,62.404,1.8241605550050735,51.43,0.09557016383177226
28,1.296853601324315,62.256,1.7706508755683898,53.74,0.09524135262330098
29,1.2784753235018984,62.956,1.688139870762825,54.43,0.09490137878803079
30,1.2548368804308834,63.5,1.694323754310608,54.73,0.0945503262094184
31,1.2435685414440778,63.594,1.8764440268278122,51.81,0.0941882815044347
32,1.2219494827547852,64.236,1.7262114852666854,53.71,0.09381533400219319
33,1.210023851723087,64.842,1.7149834871292113,54.0,0.09343157572190958
34,1.2022869538287728,64.83,1.9680402666330337,50.46,0.0930371013501972
35,1.1832316989193157,65.376,1.7650260835886002,54.78,0.09263200821770463
36,1.180875031923761,65.432,1.8530858010053635,51.85,0.09221639627510078
37,1.1621343158945745,65.99,1.7044002205133437,54.82,0.09179036806841355
38,1.153972140988525,65.93,1.6890179753303527,55.41,0.09135402871372812
39,1.1340550141675132,66.526,1.8741523712873458,52.88,0.0909074858712512
40,1.1325105337464079,66.666,1.9692530751228332,52.34,0.09045084971874741
41,1.113739745045195,67.218,1.849371960759163,53.89,0.08998423292435458
42,1.1050059533849055,67.352,1.8765284687280654,53.26,0.08950775061878455
43,1.09322931480651,67.478,1.9042188584804536,52.19,0.08902152036691653
44,1.0874215075556113,67.956,1.79331431388855,54.05,0.08852566213878951
45,1.0723433181339381,68.314,1.6249412298202515,57.56,0.0880202982800016
46,1.0611803577262529,68.376,1.6488034129142761,56.98,0.08750555348152303
47,1.0515522342555377,68.714,1.7248802185058594,55.2,0.08698155474893052
48,1.0491374256659527,68.942,1.5762268394231795,58.92,0.08644843137107061
49,1.036569963304364,69.112,1.8782428205013275,53.61,0.08590631488815947
50,1.030176164848464,69.298,1.6749730497598647,57.18,0.0853553390593274
51,1.0260258389978993,69.724,1.760932445526123,54.55,0.08479563982961574
52,1.011910435192439,69.906,1.573335400223732,58.76,0.08422735529643446
53,1.011229149236971,69.76,1.5774441212415695,59.09,0.08365062567548869
54,0.9950442460118508,70.072,1.7676023572683335,56.06,0.08306559326618261
55,0.9909333753950742,70.5,1.6247695297002793,57.39,0.0824724024165092
56,0.9810696271609287,70.592,1.7165198385715486,56.41,0.0818711994874345
57,0.9769191158061125,70.664,1.81223167181015,54.65,0.08126213281678528
58,0.9596502251771032,71.186,1.7713562458753587,56.16,0.08064535268264884
59,0.9711608199440703,70.706,1.8209311932325363,55.92,0.08002101126629421
60,0.9471916547235177,71.562,1.861755159497261,54.09,0.07938926261462367
61,0.9480918220111302,71.416,1.7565024882555007,56.08,0.07875026260216395
62,0.9359376828889457,71.776,1.780259981751442,55.89,0.07810416889260656
63,0.9314613901838964,71.92,1.6174977093935012,58.86,0.07745114089990661
64,0.9267174622842244,72.15,1.738217031955719,56.95,0.07679133974894985
65,0.9202203981730402,72.342,1.5926956832408905,59.05,0.07612492823579746
66,0.9130975856464736,72.506,1.7180851489305495,57.08,0.07545207078751859
67,0.9060139960172225,72.786,1.5779949516057967,59.69,0.0747729334216204
68,0.8946760664789044,72.73,1.6025737166404723,58.82,0.07408768370508578
69,0.8893047875287582,72.884,1.5872122079133988,59.58,0.0733964907130287
70,0.8772507252133622,73.396,1.6568883150815963,57.79,0.07269952498697736
71,0.8826190266682177,73.294,1.7960439175367355,56.62,0.07199695849279578
72,0.8652061591951214,73.422,1.7127977162599564,58.68,0.07128896457825366
73,0.8634745852679623,73.612,1.6592064410448075,57.34,0.07057571793025548
74,0.8569961570355357,73.884,1.6033694565296173,59.44,0.06985739453173906
75,0.8526410758495331,74.086,2.006466570496559,53.64,0.06913417161825453
76,0.8394606107351731,74.686,1.70228910446167,57.11,0.06840622763423394
77,0.8370707369580561,74.434,1.6780615866184234,58.3,0.0676737421889629
78,0.8343060773854353,74.41,1.63992021381855,59.3,0.06693689601226462
79,0.8272226170009497,74.756,1.6622100532054902,59.5,0.06619587090990751
80,0.8220189624294942,74.748,1.6105779469013215,59.2,0.06545084971874741
81,0.8228015093779077,74.64,1.6286161631345748,58.95,0.06470201626161524
82,0.8091329868350711,75.08,1.8890979051589967,56.08,0.06394955530196152
83,0.8087342226383637,75.326,1.718554675579071,58.07,0.06319365249826868
84,0.7997432725161923,75.462,1.8263914585113525,57.09,0.06243449435824277
85,0.7919506701279659,75.788,1.6746612727642058,59.17,0.06167226819279532
86,0.78124786974216,75.98,1.7973491102457047,57.65,0.06090716206982718
87,0.7752118989521143,76.192,1.723085480928421,58.5,0.06013936476782568
88,0.7735796254508349,76.354,1.735893577337265,58.94,0.05936906572928629
89,0.7659058467466004,76.518,1.67573262155056,58.55,0.05859645501397052
90,0.7621739138754047,76.53,1.7965886831283568,57.48,0.05782172325201159
91,0.7512114893416969,76.932,1.6161235868930817,60.12,0.057045061596879186
92,0.7487630470066654,77.054,1.6497490912675858,58.94,0.056266661678215264
93,0.7430960347457808,77.05,1.6883564546704293,59.5,0.055486715554552306
94,0.7359777068605229,77.356,1.56311574280262,61.19,0.05470541566592575
95,0.7360326082122569,77.102,1.6465181887149811,60.65,0.05392295478639229
96,0.7230385605778012,77.512,1.6448066964745522,59.6,0.05313952597646571
97,0.7201651164463588,77.654,1.5562588006258011,60.85,0.05235532253548216
98,0.7094883322715759,78.194,1.5692533493041991,60.86,0.051570537953906447
99,0.7010623934317608,78.096,1.6560067504644393,59.85,0.05078536586559106
