epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.114739021476434,6.776,3.8770428776741026,9.58,0.09999383162408304
2,3.6182306542688485,13.408,3.614348995685577,14.65,0.09997532801828658
3,3.2378604789169465,19.778,3.4896950483322144,19.6,0.09994449374809851
4,2.865889368008594,26.604,3.014917439222336,23.2,0.09990133642141359
5,2.616529034108532,31.542,2.735622215270996,29.88,0.09984586668665642
6,2.4272622295788358,35.568,2.9309468269348145,29.69,0.09977809823015402
7,2.279291143222731,38.63,2.553124022483826,35.24,0.09969804777275901
8,2.1502773627942924,41.658,2.3960079908370973,38.33,0.09960573506572391
9,2.030330933478414,44.486,2.3415410697460173,40.39,0.09950118288582789
10,1.9375953741219578,46.426,2.2004902780056,42.14,0.09938441702975691
11,1.8614447445285565,48.542,2.19858381152153,43.21,0.09925546630773871
12,1.7878990027369286,50.256,1.9536082834005355,46.68,0.09911436253643445
13,1.7318041057002789,51.656,2.0491708666086197,46.61,0.0989611405310883
14,1.6777135492587576,52.992,1.9262854993343352,47.91,0.09879583809693739
15,1.6275112075465066,54.178,2.3341375410556795,42.32,0.09861849601988384
16,1.5885942383688323,55.044,2.1781186938285826,45.47,0.09842915805643157
17,1.5538556356819309,55.924,1.917245052754879,48.76,0.09822787092288993
18,1.5111159414661175,56.83,1.9154118239879607,50.36,0.09801468428384717
19,1.4781043541674712,57.722,1.932488003373146,48.61,0.09778965073991652
20,1.4553533543129356,58.248,1.824099051952362,51.82,0.0975528258147577
21,1.4136662860305942,59.372,1.8837811350822449,51.15,0.09730426794137728
22,1.3954865549291884,59.924,1.84264597594738,50.66,0.09704403844771128
23,1.3693125247955322,60.508,2.071366599202156,51.22,0.09677220154149338
24,1.3470018378325872,61.128,1.7216201186180116,53.13,0.09648882429441258
25,1.3285255210132014,61.41,1.738372552394867,54.41,0.09619397662556435
26,1.3020463531114617,62.24,1.7941233158111571,53.06,0.09588773128419906
27,1.2926061603487755,62.252,1.6299696654081344,55.79,0.09557016383177226
28,1.2657674791253344,63.244,1.59938505589962,56.88,0.09524135262330098
29,1.2522462645963746,63.606,1.871228003501892,51.73,0.09490137878803079
30,1.2411172538995743,63.666,1.6525931924581527,55.62,0.0945503262094184
31,1.2197473386720734,64.048,1.9488822996616364,51.49,0.0941882815044347
32,1.2096716235486829,64.826,1.6748896539211273,56.03,0.09381533400219319
33,1.1966669285783962,65.126,1.700689658522606,55.74,0.09343157572190958
34,1.1799413759489448,65.272,1.6700296610593797,56.51,0.0930371013501972
35,1.171220065075524,65.624,1.656229142844677,55.72,0.09263200821770463
36,1.158696484809019,65.902,1.8377707481384278,54.22,0.09221639627510078
37,1.139088659566276,66.502,1.6502207964658737,56.87,0.09179036806841355
38,1.1319420033571672,66.682,1.6979470819234848,56.94,0.09135402871372812
39,1.1219747233755735,66.992,1.6623036026954652,56.38,0.0909074858712512
40,1.1013225806610925,67.776,1.736664852499962,56.02,0.09045084971874741
41,1.0996188807244203,67.564,1.705946832895279,56.02,0.08998423292435458
42,1.0883503358583062,67.832,1.8492829531431199,54.23,0.08950775061878455
43,1.081922476084865,67.976,1.730989184975624,55.3,0.08902152036691653
44,1.0662619650972134,68.31,1.8551300793886185,54.84,0.08852566213878951
45,1.0534302148283745,68.702,1.7238296926021577,56.64,0.0880202982800016
46,1.0470141047725872,69.13,1.762861329317093,55.33,0.08750555348152303
47,1.0265448239384865,69.482,1.6416726797819137,58.13,0.08698155474893052
48,1.0307704830656246,69.298,1.5961921155452727,57.48,0.08644843137107061
49,1.0202804177391285,69.372,1.5263302698731422,59.12,0.08590631488815947
50,1.0124700920922416,69.884,1.638929358124733,56.69,0.0853553390593274
51,0.997679779724199,70.126,1.6624972105026246,57.28,0.08479563982961574
52,0.9961947290873041,70.08,1.7309847623109818,57.25,0.08422735529643446
53,0.9919961596630058,70.194,1.6948424488306046,56.8,0.08365062567548869
54,0.9879257852325634,70.262,1.7818074941635131,55.61,0.08306559326618261
55,0.9747800212733599,70.982,1.5568783789873124,58.28,0.0824724024165092
56,0.9599043054848301,71.27,1.5995525151491166,58.55,0.0818711994874345
57,0.9553904810122081,71.342,1.7103273928165437,56.58,0.08126213281678528
58,0.9461211848015688,71.52,1.7704773634672164,55.53,0.08064535268264884
59,0.9442200006879106,71.526,1.7923529684543609,55.44,0.08002101126629421
