epoch,train_loss,train_acc,test_loss,test_acc,lr,teacher_test_acc,teacher_train_acc
1,12.651026910665085,34.402,11.640068197250367,42.42,0.09999383162408304,91.05,99.944
2,8.242086398358248,54.508,9.292318737506866,51.75,0.09997532801828658,91.05,99.944
3,6.279272651185795,63.536,6.866408085823059,60.53,0.09994449374809851,91.05,99.944
4,5.364250114985874,67.724,6.6489415764808655,63.12,0.09990133642141359,91.05,99.944
5,4.686620077308343,71.05,6.582528084516525,63.34,0.09984586668665642,91.05,99.944
6,4.109943158772527,73.872,3.9710164785385134,72.55,0.09977809823015402,91.05,99.944
7,3.707499679254026,75.66,4.320488482713699,71.28,0.09969804777275901,91.05,99.944
8,3.307996487130924,77.74,4.449025088548661,71.09,0.09960573506572391,91.05,99.944
9,3.0287624421168347,79.202,3.307170331478119,75.55,0.09950118288582789,91.05,99.944
10,2.851094098115454,79.988,3.2155778884887694,76.1,0.09938441702975691,91.05,99.944
11,2.6368923102106367,81.202,3.924901854991913,74.05,0.09925546630773871,91.05,99.944
12,2.50757727574329,81.906,4.221135014295578,71.62,0.09911436253643445,91.05,99.944
13,2.4275520723693225,82.642,2.5581977546215056,79.05,0.0989611405310883,91.05,99.944
14,2.2760097877103456,83.434,3.6845831274986267,74.55,0.09879583809693739,91.05,99.944
15,2.1986022670658265,83.804,2.530867126584053,79.38,0.09861849601988384,91.05,99.944
16,2.1224732234769936,84.174,2.5590847432613373,78.92,0.09842915805643157,91.05,99.944
17,2.0782475702616634,84.498,2.453523373603821,80.0,0.09822787092288993,91.05,99.944
18,2.0186687501109377,84.808,3.3619020164012907,76.28,0.09801468428384717,91.05,99.944
19,1.914997678630206,85.592,2.4367715984582903,79.97,0.09778965073991652,91.05,99.944
20,1.9063502647438828,85.396,2.8669404413551094,78.04,0.0975528258147577,91.05,99.944
21,1.8166110953506158,86.058,2.0101712971925734,82.55,0.09730426794137728,91.05,99.944
22,1.7496618737979812,86.536,2.0366373687982557,81.88,0.09704403844771128,91.05,99.944
23,1.7383302389358988,86.554,2.149757447838783,81.61,0.09677220154149338,91.05,99.944
24,1.6763411663016494,87.044,2.910730668902397,78.49,0.09648882429441258,91.05,99.944
25,1.6283047570257771,87.362,2.3249692589044573,80.86,0.09619397662556435,91.05,99.944
26,1.5896207769306339,87.5,2.42646966278553,80.38,0.09588773128419906,91.05,99.944
27,1.5958381675335827,87.592,1.8071356266736984,83.81,0.09557016383177226,91.05,99.944
28,1.5090603174603716,87.91,1.5907650589942932,84.88,0.09524135262330098,91.05,99.944
29,1.5117979803863837,88.122,2.2595297783613204,81.42,0.09490137878803079,91.05,99.944
30,1.4962384177713979,88.022,1.5109394907951355,84.99,0.0945503262094184,91.05,99.944
31,1.4643935725396993,88.308,1.4484207808971405,85.52,0.0941882815044347,91.05,99.944
32,1.4272027383653485,88.576,1.7137909531593323,84.45,0.09381533400219319,91.05,99.944
33,1.3943541950109053,88.896,1.809908491373062,83.78,0.09343157572190958,91.05,99.944
34,1.3678264499318844,88.992,1.536427640914917,85.14,0.0930371013501972,91.05,99.944
35,1.3644001167647692,89.046,1.3914385795593263,86.38,0.09263200821770463,91.05,99.944
36,1.3601781598159246,89.12,1.5798828899860382,85.29,0.09221639627510078,91.05,99.944
37,1.293256228067437,89.44,1.7890188694000244,83.61,0.09179036806841355,91.05,99.944
38,1.304943479749621,89.344,1.4324973374605179,85.5,0.09135402871372812,91.05,99.944
39,1.3108835560934884,89.38,2.342305625975132,81.13,0.0909074858712512,91.05,99.944
40,1.3125941093478883,89.412,1.6871824145317078,84.63,0.09045084971874741,91.05,99.944
41,1.233435932774933,89.946,1.747251209616661,84.28,0.08998423292435458,91.05,99.944
42,1.2166789824865303,90.004,1.551136714220047,85.03,0.08950775061878455,91.05,99.944
43,1.1890927474109494,90.18,1.6108472645282745,85.03,0.08902152036691653,91.05,99.944
44,1.226078535221061,90.024,2.284168192744255,82.33,0.08852566213878951,91.05,99.944
45,1.1877404734188197,90.314,1.534348550438881,85.55,0.0880202982800016,91.05,99.944
46,1.1625247366574345,90.358,1.4576317116618156,85.53,0.08750555348152303,91.05,99.944
47,1.1465200555263733,90.51,1.5863170206546784,85.02,0.08698155474893052,91.05,99.944
48,1.1136827988892186,90.828,1.4578195691108704,85.94,0.08644843137107061,91.05,99.944
49,1.1386484208763863,90.56,1.5233151465654373,85.84,0.08590631488815947,91.05,99.944
50,1.118588241691492,90.766,1.4999722510576248,85.57,0.0853553390593274,91.05,99.944
51,1.0928873158231074,90.874,1.6886454448103905,84.53,0.08479563982961574,91.05,99.944
52,1.1152419697265237,90.806,1.3818915158510208,86.39,0.08422735529643446,91.05,99.944
53,1.0601097612964863,91.144,1.8474247634410859,83.65,0.08365062567548869,91.05,99.944
54,1.0257863149959214,91.376,1.5224064260721206,85.71,0.08306559326618261,91.05,99.944
55,1.041350178268491,91.292,1.1983968565240501,87.23,0.0824724024165092,91.05,99.944
56,1.0410335824197652,91.312,1.3815110683441163,86.46,0.0818711994874345,91.05,99.944
57,0.9886060895360246,91.698,1.3853747591376304,86.75,0.08126213281678528,91.05,99.944
58,1.0130216749955196,91.52,1.379456213116646,86.41,0.08064535268264884,91.05,99.944
