epoch,train_loss,train_acc,test_loss,test_acc,lr,teacher_test_acc,teacher_train_acc
1,12.730534066959303,33.9,13.106450414657592,39.37,0.09999383162408304,91.14,99.954
2,8.096859270212601,55.322,14.829927229881287,37.61,0.09997532801828658,91.14,99.954
3,5.965416151650098,64.942,6.999366915225982,60.51,0.09994449374809851,91.14,99.954
4,4.863145088662907,70.184,9.263473188877105,56.49,0.09990133642141359,91.14,99.954
5,4.171271265769492,73.42,7.8398451685905455,57.4,0.09984586668665642,91.14,99.954
6,3.6915613072259084,75.784,6.466666263341904,64.09,0.09977809823015402,91.14,99.954
7,3.328494736126491,77.566,7.5040607929229735,60.55,0.09969804777275901,91.14,99.954
8,3.0204404397886626,79.168,4.2039649248123165,71.86,0.09960573506572391,91.14,99.954
9,2.876132770460479,79.988,3.7285548090934753,73.87,0.09950118288582789,91.14,99.954
10,2.6495163300815894,81.296,2.4757087558507918,79.81,0.09938441702975691,91.14,99.954
11,2.539280657865563,81.826,2.8584839046001433,78.24,0.09925546630773871,91.14,99.954
12,2.399735987186432,82.51,3.4135445415973664,76.36,0.09911436253643445,91.14,99.954
13,2.2992101135302563,83.454,5.1728675842285154,70.5,0.0989611405310883,91.14,99.954
14,2.199162480782489,83.724,3.4631282925605773,76.07,0.09879583809693739,91.14,99.954
15,2.1091990756745242,84.434,4.130324321985245,73.16,0.09861849601988384,91.14,99.954
16,2.0191139536244527,84.996,3.5717091262340546,75.3,0.09842915805643157,91.14,99.954
17,1.9949498918591713,84.992,2.353319191932678,80.47,0.09822787092288993,91.14,99.954
18,1.893751364581439,85.612,3.9915485620498656,73.78,0.09801468428384717,91.14,99.954
19,1.8673637342088076,85.69,1.9345731288194656,82.74,0.09778965073991652,91.14,99.954
20,1.7849188720693394,86.414,2.2184777438640593,81.47,0.0975528258147577,91.14,99.954
21,1.8260785280441751,86.026,1.9212119191884995,82.93,0.09730426794137728,91.14,99.954
22,1.7133263392107827,86.796,2.070103958249092,82.46,0.09704403844771128,91.14,99.954
23,1.6962549394490767,86.962,1.7336561799049377,83.93,0.09677220154149338,91.14,99.954
24,1.6473742455852276,87.206,1.9921429932117463,82.82,0.09648882429441258,91.14,99.954
25,1.606638711934187,87.448,2.305406001210213,81.31,0.09619397662556435,91.14,99.954
26,1.6158492893588787,87.368,2.0177870601415635,82.55,0.09588773128419906,91.14,99.954
27,1.5461506983455346,87.862,1.8901324182748795,83.32,0.09557016383177226,91.14,99.954
28,1.575224027341726,87.61,1.9731725692749023,82.91,0.09524135262330098,91.14,99.954
29,1.5167704093821195,87.958,2.1099340826272965,82.06,0.09490137878803079,91.14,99.954
30,1.4754055881378603,88.28,1.784626853466034,83.73,0.0945503262094184,91.14,99.954
31,1.438738385329441,88.616,1.920472013950348,83.65,0.0941882815044347,91.14,99.954
32,1.439001847590719,88.644,1.743082168698311,84.11,0.09381533400219319,91.14,99.954
33,1.3921587689190495,88.846,3.560860800743103,75.95,0.09343157572190958,91.14,99.954
34,1.3961422461636213,88.868,1.7775833979249,83.63,0.0930371013501972,91.14,99.954
35,1.373448023990709,89.098,1.8010897517204285,83.9,0.09263200821770463,91.14,99.954
36,1.3250469054494585,89.262,2.2566333442926405,81.47,0.09221639627510078,91.14,99.954
37,1.2914052988801683,89.708,1.3786458760499953,86.38,0.09179036806841355,91.14,99.954
38,1.2854959694098453,89.544,2.0044678896665573,83.42,0.09135402871372812,91.14,99.954
39,1.2505372099730434,89.868,2.1475156486034392,82.87,0.0909074858712512,91.14,99.954
40,1.2607022785410589,89.812,1.7227779477834702,84.96,0.09045084971874741,91.14,99.954
41,1.2138977762387724,90.228,1.6595457762479782,84.77,0.08998423292435458,91.14,99.954
42,1.2362613763128008,89.91,1.4743218958377837,85.82,0.08950775061878455,91.14,99.954
43,1.1882922333114,90.306,1.5899645537137985,85.84,0.08902152036691653,91.14,99.954
44,1.1558352383423824,90.562,2.1893042057752607,81.9,0.08852566213878951,91.14,99.954
45,1.1830528582237205,90.306,1.2819570247083902,86.75,0.0880202982800016,91.14,99.954
46,1.1648952072980452,90.532,1.873687171936035,83.82,0.08750555348152303,91.14,99.954
47,1.1644405698289677,90.49,1.6384267061948776,85.2,0.08698155474893052,91.14,99.954
48,1.1276203357443517,90.76,1.9209342449903488,84.04,0.08644843137107061,91.14,99.954
49,1.1208923553325691,90.762,1.7880352228879928,84.16,0.08590631488815947,91.14,99.954
50,1.1218944958278112,90.734,1.3603414073586464,86.59,0.0853553390593274,91.14,99.954
51,1.072480444397245,91.2,2.00578433573246,83.0,0.08479563982961574,91.14,99.954
52,1.075029585434466,91.026,2.3858889549970628,81.14,0.08422735529643446,91.14,99.954
53,1.052040093407339,91.33,1.6762743175029755,84.81,0.08365062567548869,91.14,99.954
54,1.0641654851485272,91.188,1.5681125119328498,85.64,0.08306559326618261,91.14,99.954
55,1.0362081962580583,91.44,2.0362734466791155,83.1,0.0824724024165092,91.14,99.954
56,0.9948183152140403,91.594,1.8773963898420334,83.67,0.0818711994874345,91.14,99.954
57,1.0322145792294521,91.292,1.1587529882788659,87.83,0.08126213281678528,91.14,99.954
58,1.0151993373827057,91.648,1.251975405216217,87.23,0.08064535268264884,91.14,99.954
59,1.0282820149952052,91.544,1.4604306727647782,86.02,0.08002101126629421,91.14,99.954
60,0.9764833039775187,91.718,1.3331918135285377,86.99,0.07938926261462367,91.14,99.954
61,0.9691416964847215,91.978,1.256675200164318,87.13,0.07875026260216395,91.14,99.954
62,0.9656491592830542,91.938,1.1563776597380637,87.97,0.07810416889260656,91.14,99.954
63,0.9441686345606434,92.186,1.3461467795073987,86.74,0.07745114089990661,91.14,99.954
64,0.9300693340447485,92.196,1.2855650380253791,87.08,0.07679133974894985,91.14,99.954
65,0.907881321651595,92.27,1.3835270240902902,86.38,0.07612492823579746,91.14,99.954
66,0.9303526936136947,92.056,1.2240924373269082,87.63,0.07545207078751859,91.14,99.954
67,0.8862886422750901,92.448,2.128466618061066,82.82,0.0747729334216204,91.14,99.954
68,0.8804805503816021,92.5,2.006548973917961,83.18,0.07408768370508578,91.14,99.954
69,0.8609164562456462,92.774,1.4238878816366196,86.09,0.0733964907130287,91.14,99.954
70,0.8785242474808985,92.582,1.194465833902359,87.72,0.07269952498697736,91.14,99.954
71,0.8665816058613816,92.648,1.9547661781311034,83.89,0.07199695849279578,91.14,99.954
72,0.8647161231053119,92.74,1.3843576461076736,86.77,0.07128896457825366,91.14,99.954
73,0.8715959928777753,92.596,1.636784365773201,85.5,0.07057571793025548,91.14,99.954
74,0.8449096897122811,92.77,1.4979583263397216,86.89,0.06985739453173906,91.14,99.954
75,0.8308999726966936,92.956,1.346052710711956,86.88,0.06913417161825453,91.14,99.954
76,0.8045669407868872,93.108,1.9060500741004944,84.29,0.06840622763423394,91.14,99.954
77,0.803264490195683,93.128,1.2619420424103738,87.06,0.0676737421889629,91.14,99.954
78,0.7613860237963346,93.444,1.4802961364388465,86.59,0.06693689601226462,91.14,99.954
79,0.8114419637285933,93.002,1.363191196322441,87.32,0.06619587090990751,91.14,99.954
80,0.8276363597536573,92.952,1.3334393978118897,87.34,0.06545084971874741,91.14,99.954
81,0.7712166916046824,93.354,1.8965422689914704,84.35,0.06470201626161524,91.14,99.954
82,0.7622584975799735,93.5,1.3026270478963853,87.83,0.06394955530196152,91.14,99.954
83,0.7224452925883994,93.752,1.4980422154068946,86.29,0.06319365249826868,91.14,99.954
84,0.7146997283003769,93.876,inf,87.15,0.06243449435824277,91.14,99.954
85,0.7266231167073153,93.796,1.2325476288795472,88.0,0.06167226819279532,91.14,99.954
86,0.7348332043204989,93.722,1.5965303421020507,86.13,0.06090716206982718,91.14,99.954
87,0.7340537554451397,93.786,1.0620474182069302,88.66,0.06013936476782568,91.14,99.954
88,0.7306173947088572,93.806,1.2367559909820556,88.31,0.05936906572928629,91.14,99.954
89,0.7198783118201761,93.854,1.1470423340797424,88.46,0.05859645501397052,91.14,99.954
90,0.6781544470969512,94.094,1.2514686912298203,88.19,0.05782172325201159,91.14,99.954
91,0.673157583085858,94.114,1.3251705445349216,87.27,0.057045061596879186,91.14,99.954
92,0.6869867506379984,94.104,1.22918571382761,88.09,0.056266661678215264,91.14,99.954
93,0.6838425686772989,94.174,1.4475683093070983,86.96,0.055486715554552306,91.14,99.954
94,0.6596390528946506,94.202,1.257835504412651,87.97,0.05470541566592575,91.14,99.954
95,0.6377887795774304,94.446,1.2078728303313255,88.66,0.05392295478639229,91.14,99.954
96,0.6351984357651399,94.58,1.1689145311713218,88.1,0.05313952597646571,91.14,99.954
97,0.6087575468177698,94.674,1.3465255141258239,87.59,0.05235532253548216,91.14,99.954
98,0.6262497476169041,94.636,1.105215495824814,88.46,0.051570537953906447,91.14,99.954
99,0.5974833972904147,94.762,1.039166932180524,89.06,0.05078536586559106,91.14,99.954
