epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.697772174465413,35.758,1.524078443646431,45.27,0.09999383162408304
2,1.2205132224730082,55.746,1.1866974353790283,57.97,0.09997532801828658
3,0.9996294433973274,63.968,1.131273764371872,60.5,0.09994449374809851
4,0.8787266818844542,68.586,1.0114340722560882,64.18,0.09990133642141359
5,0.7898868973157844,72.068,1.146798425912857,63.4,0.09984586668665642
6,0.7182305908324768,74.584,1.1323519006371499,64.99,0.09977809823015402
7,0.6537055741159283,77.304,0.918342088162899,69.1,0.09969804777275901
8,0.6066775028498805,78.9,1.15359857827425,67.01,0.09960573506572391
9,0.5732022259308367,80.186,0.7449145630002022,75.14,0.09950118288582789
10,0.5418767947323468,81.116,0.7791142985224724,74.78,0.09938441702975691
11,0.5180692725947925,81.906,0.7600630387663841,75.79,0.09925546630773871
12,0.48957199192776973,82.936,0.6555946283042431,77.88,0.09911436253643445
13,0.4678855608312451,83.71,0.6833641260862351,77.76,0.0989611405310883
14,0.4536628881279303,84.382,0.661997777223587,78.39,0.09879583809693739
15,0.4334064194438409,84.9,0.6012873120605946,80.6,0.09861849601988384
16,0.42222185508937254,85.224,0.5566972367465496,81.28,0.09842915805643157
17,0.40315537930143125,85.91,0.8565498173236847,75.71,0.09822787092288993
18,0.40224290106977734,85.982,0.5145649828016758,82.69,0.09801468428384717
19,0.3882317241965508,86.566,0.6665674164891243,78.95,0.09778965073991652
20,0.37325650894520235,86.806,0.8078558623790741,76.71,0.0975528258147577
21,0.36422065949561644,87.21,0.5998247750103474,80.4,0.09730426794137728
22,0.3612851908772576,87.402,0.5710697986185551,82.39,0.09704403844771128
23,0.35391560668239785,87.622,0.49751787409186365,83.8,0.09677220154149338
24,0.33796136088821355,88.196,0.5587221786379815,82.51,0.09648882429441258
25,0.3337178349646987,88.36,0.5298967637121678,82.42,0.09619397662556435
26,0.32702252299201734,88.53,0.6049935385584831,81.02,0.09588773128419906
27,0.3248678017027524,88.756,0.5182403080165386,84.1,0.09557016383177226
28,0.3150911594988132,88.976,0.5925543092191219,81.95,0.09524135262330098
29,0.30913167758559695,89.306,0.5826643705368042,81.64,0.09490137878803079
30,0.2960808826040249,89.636,0.5397064730525016,83.06,0.0945503262094184
31,0.29521593481910474,89.584,0.5417880982160568,84.07,0.0941882815044347
32,0.2975623111943809,89.554,0.5487559236586094,83.1,0.09381533400219319
33,0.290341748494883,89.824,0.6454727165400982,80.03,0.09343157572190958
34,0.2810603613604088,90.084,0.6304649792611599,81.42,0.0930371013501972
35,0.28004963262652866,90.254,0.4698535442352295,84.84,0.09263200821770463
36,0.2709435854791378,90.576,0.500726617127657,84.28,0.09221639627510078
37,0.2677703307447385,90.612,0.4499770596623421,85.31,0.09179036806841355
38,0.2721019311218846,90.328,0.6166492268443108,81.47,0.09135402871372812
39,0.26185593776861016,90.81,0.4856127202510834,85.21,0.0909074858712512
40,0.25718383513847176,91.052,0.49217938594520094,84.8,0.09045084971874741
41,0.25348089741809027,91.052,0.4930290088057518,84.25,0.08998423292435458
42,0.2552543873993718,91.124,0.5993766922503709,82.25,0.08950775061878455
43,0.24936145870965354,91.28,0.41191112250089645,86.82,0.08902152036691653
44,0.2462735638326528,91.268,0.5527627557516098,83.55,0.08852566213878951
45,0.24136730903113374,91.442,0.5606400988996029,84.12,0.0880202982800016
46,0.23989267882948018,91.55,0.4860955588519573,85.34,0.08750555348152303
47,0.23172723585549665,91.834,0.5166420258581639,84.13,0.08698155474893052
48,0.23148134289955608,91.816,0.4902073174715042,84.96,0.08644843137107061
49,0.23142380579089633,91.898,0.4585268639028072,85.7,0.08590631488815947
50,0.2264757493168724,92.012,0.45542531087994576,86.75,0.0853553390593274
51,0.22015414242537654,92.268,0.5142291687428951,85.14,0.08479563982961574
52,0.21793604060551341,92.306,0.4640672102570534,86.33,0.08422735529643446
53,0.219825200356391,92.31,0.408297511190176,86.95,0.08365062567548869
54,0.2085744145573402,92.644,0.45460678860545156,86.37,0.08306559326618261
55,0.21623935588464446,92.484,0.46559453532099726,85.3,0.0824724024165092
56,0.20711625686713628,92.798,0.5990749828517437,82.62,0.0818711994874345
57,0.2076172477052528,92.692,0.5513498462736607,84.59,0.08126213281678528
58,0.2004936353436538,92.928,0.5297654114663601,84.32,0.08064535268264884
59,0.20289097779563495,92.894,0.5063654251396656,85.97,0.08002101126629421
60,0.19903192505696599,92.954,0.574299692362547,84.13,0.07938926261462367
61,0.1960486149681466,93.092,0.4472076140344143,86.84,0.07875026260216395
62,0.1965815261842645,93.022,0.4198030985891819,87.07,0.07810416889260656
63,0.19312525472166586,93.206,0.4928248763084412,85.38,0.07745114089990661
64,0.1928219348192215,93.142,0.44026907719671726,86.42,0.07679133974894985
65,0.19190863056146368,93.18,0.528143773600459,84.75,0.07612492823579746
66,0.18986189597267278,93.36,0.5776576429605484,84.58,0.07545207078751859
67,0.18429060284124346,93.558,0.435275562107563,87.2,0.0747729334216204
68,0.18237802055569327,93.556,0.469768325984478,85.81,0.07408768370508578
69,0.17984238358176485,93.566,0.46739170253276824,85.98,0.0733964907130287
70,0.17730693781406295,93.732,0.5042517878115177,86.0,0.07269952498697736
71,0.17913789765871302,93.63,0.4634042017161846,86.49,0.07199695849279578
72,0.16983763729127085,93.908,0.44509651958942414,87.48,0.07128896457825366
73,0.16805984653836611,93.972,0.4282105930149555,87.62,0.07057571793025548
74,0.16829096419470652,94.094,0.4463277284055948,87.05,0.06985739453173906
75,0.1640935463032552,94.19,0.44661095440387727,87.25,0.06913417161825453
76,0.16660934983163464,94.116,0.4572276009246707,86.61,0.06840622763423394
77,0.1607413062331628,94.26,0.4575705621391535,87.19,0.0676737421889629
78,0.16354848011111728,94.17,0.41285480930819174,87.7,0.06693689601226462
79,0.15996966651659839,94.34,0.5616977564990521,85.54,0.06619587090990751
80,0.15567565754968293,94.396,0.4027600847184658,88.28,0.06545084971874741
81,0.1543891369080057,94.516,0.591339772939682,84.67,0.06470201626161524
82,0.14855108911893805,94.728,0.43528988072648644,87.94,0.06394955530196152
83,0.15363664199046942,94.48,0.5509277030825614,84.99,0.06319365249826868
84,0.1457638967098022,94.792,0.39460859447717667,88.76,0.06243449435824277
85,0.15136911537574263,94.658,0.43348150346428155,87.06,0.06167226819279532
86,0.14292438983993264,94.954,0.4599125474691391,86.81,0.06090716206982718
87,0.13772803472773154,95.214,0.4330598644912243,87.93,0.06013936476782568
88,0.13953748839546223,95.092,0.4632525213062763,87.09,0.05936906572928629
89,0.1412977830563881,94.962,0.40743730366230013,88.66,0.05859645501397052
90,0.13562025357874072,95.162,0.4394994731992483,87.56,0.05782172325201159
91,0.14014555175541615,95.076,0.3767965853214264,89.14,0.057045061596879186
92,0.1300690810823319,95.386,0.46365806758403777,87.27,0.056266661678215264
93,0.12912261411927792,95.392,0.447228504344821,87.68,0.055486715554552306
94,0.13070718814827958,95.404,0.48812721073627474,87.09,0.05470541566592575
95,0.12977962832593795,95.386,0.46890210937708615,86.9,0.05392295478639229
96,0.12568720150738955,95.55,0.429634195077233,88.24,0.05313952597646571
97,0.1234987516298282,95.538,0.41490409802645445,88.17,0.05235532253548216
98,0.12189212357815431,95.652,0.5017675332725048,87.29,0.051570537953906447
99,0.12365586371446143,95.618,0.4278451889753342,88.26,0.05078536586559106
100,0.1125752373921628,95.99,0.44800067916512487,87.51,0.050000000000000024
101,0.11361457684970631,95.978,0.4463462568819523,88.01,0.049214634134409
102,0.11753891642224423,95.762,0.38526180423796175,89.2,0.04842946204609361
103,0.11139827691094607,96.006,0.4538901746273041,87.87,0.04764467746451789
104,0.1096330049960893,96.124,0.4604643866419792,88.23,0.046860474023534354
105,0.10631429067603787,96.274,0.39636575020849707,88.96,0.04607704521360778
106,0.10680376215628823,96.152,0.4631708011031151,87.84,0.04529458433407431
107,0.09987996478698083,96.34,0.4479697048664093,88.36,0.04451328444544776
108,0.09965360084814685,96.48,0.39249897841364145,88.79,0.04373333832178482
109,0.0967023032432308,96.55,0.38704224228858947,89.73,0.0429549384031209
110,0.09771721924141961,96.462,0.5847414312884212,85.71,0.042178276747988484
111,0.09537986354256163,96.588,0.4300827756524086,88.6,0.04140354498602954
112,0.09200988571178548,96.704,0.4272881805896759,88.76,0.0406309342707138
113,0.08904610887854075,96.886,0.45435237092897296,88.46,0.03986063523217441
114,0.089504345282152,96.754,0.4634621575474739,88.61,0.039092837930172916
115,0.08784792828848775,96.868,0.45003233961760997,88.6,0.03832773180720475
116,0.0844618006115209,97.0,0.4431652620434761,88.93,0.037565505641757285
117,0.08263561530608912,97.034,0.44001391250640154,88.9,0.03680634750173138
118,0.07964816970788703,97.274,0.45571999400854113,88.93,0.036050444698038565
119,0.07663040005658962,97.29,0.4383793089538813,88.7,0.03529798373838483
120,0.0796670738835724,97.188,0.4619920298457146,88.85,0.03454915028125267
121,0.07703465338302207,97.172,0.43940842151641846,89.22,0.03380412909009255
122,0.07526446642278105,97.308,0.4526187848299742,89.05,0.03306310398773545
123,0.07286317790953481,97.442,0.4583318166434765,88.75,0.03232625781103717
124,0.0687908058016732,97.596,0.44929309859871863,88.45,0.03159377236576613
125,0.07012501114751307,97.552,0.47531530596315863,88.66,0.030865828381745543
126,0.06329019998713416,97.75,0.3918092854321003,90.15,0.03014260546826098
127,0.06534054377401362,97.696,0.4481348544359207,89.37,0.02942428206974458
128,0.060071035392810494,97.93,0.44218892268836496,89.4,0.028711035421746387
129,0.05795024980657867,97.922,0.4550957873463631,89.08,0.02800304150720426
130,0.05324516155547938,98.186,0.45575170069932935,89.23,0.02730047501302268
131,0.05776729435678952,97.964,0.4387768290936947,89.47,0.026603509286971357
132,0.05239852069287884,98.208,0.40626683904010863,89.96,0.025912316294914244
133,0.04983390143559295,98.326,0.4278954781591892,89.99,0.025227066578379632
