epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.6733707238216788,36.582,1.5454882562160492,42.89,0.09999383162408304
2,1.2301025375419734,55.336,1.1836464717984199,57.63,0.09997532801828658
3,1.0039488353899546,63.698,1.1189791828393936,61.29,0.09994449374809851
4,0.8794551500860526,68.672,1.0325544103980064,64.18,0.09990133642141359
5,0.7733399871052528,72.628,0.9104273915290833,69.5,0.09984586668665642
6,0.6930371887829839,75.718,1.1099001199007035,65.2,0.09977809823015402
7,0.6388912106655082,77.704,0.8805409163236618,71.09,0.09969804777275901
8,0.5853311144271676,79.73,0.6795866005122662,77.58,0.09960573506572391
9,0.5495595930486309,80.976,0.7179217293858529,76.82,0.09950118288582789
10,0.5232783819035608,81.872,0.6825492545962334,78.31,0.09938441702975691
11,0.49704689745392117,82.61,0.6530422993004322,77.66,0.09925546630773871
12,0.478641574784201,83.346,0.6129497841000557,80.6,0.09911436253643445
13,0.46772345064245924,83.712,0.6411691971123219,79.2,0.0989611405310883
14,0.44379815155146074,84.506,0.6557150766253471,78.41,0.09879583809693739
15,0.43006748462818106,85.186,0.6477503143250942,79.63,0.09861849601988384
16,0.4156970536830474,85.788,0.6873172949999571,77.81,0.09842915805643157
17,0.40539741485702746,86.074,0.6474607735872269,79.11,0.09822787092288993
18,0.3898912902389254,86.46,0.5023620821535587,83.63,0.09801468428384717
19,0.38507829591327786,86.578,0.4779142878949642,84.28,0.09778965073991652
20,0.3736448181527002,86.944,0.6170671813189983,80.35,0.0975528258147577
21,0.35910144820809364,87.532,0.5577629029750824,82.47,0.09730426794137728
22,0.3543092969576923,87.592,0.49431077130138873,83.88,0.09704403844771128
23,0.34865504868176517,87.792,0.4838561937212944,83.89,0.09677220154149338
24,0.3390191305352717,88.274,0.5183997680433095,83.77,0.09648882429441258
25,0.3311485088601404,88.39,0.5427425242960453,82.94,0.09619397662556435
26,0.3255793839236911,88.714,0.54729915112257,83.14,0.09588773128419906
27,0.31653447753312636,89.024,0.47202410995960237,84.84,0.09557016383177226
28,0.3111539346983238,89.042,0.6046455428004265,81.38,0.09524135262330098
29,0.303249435157192,89.342,0.5012480355799198,83.31,0.09490137878803079
30,0.2950140769992556,89.744,0.5116073444485665,83.39,0.0945503262094184
31,0.29496126781616894,89.698,0.4572730533778667,85.13,0.0941882815044347
32,0.2865626419685325,89.906,0.5222795400768518,83.78,0.09381533400219319
33,0.2839422684390934,90.04,0.47682631984353063,85.38,0.09343157572190958
34,0.27936805632649636,90.224,0.48506538942456245,84.6,0.0930371013501972
